               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                  63,              2.2505,              1.4387,              1.5465,             0.79765,             0.78782,             0.85997,             0.43898,                   0,                   0,                   0,           0.0087724,           0.0087724,           0.0087724
                  64,              2.2358,               1.444,              1.5289,             0.78495,              0.7991,             0.86135,             0.43874,                   0,                   0,                   0,           0.0087526,           0.0087526,           0.0087526
                  65,               2.252,              1.4316,              1.5489,             0.79515,             0.79167,             0.86082,             0.43911,                   0,                   0,                   0,           0.0087328,           0.0087328,           0.0087328
                  66,              2.2359,              1.4457,               1.537,             0.78976,             0.79426,             0.86078,             0.43839,                   0,                   0,                   0,            0.008713,            0.008713,            0.008713
                  67,              2.2301,               1.419,              1.5295,             0.79284,             0.79398,             0.86141,             0.43852,                   0,                   0,                   0,           0.0086932,           0.0086932,           0.0086932
                  68,              2.2485,              1.4361,              1.5344,             0.78927,             0.79772,             0.86166,             0.43986,                   0,                   0,                   0,           0.0086734,           0.0086734,           0.0086734
                  69,              2.2376,              1.4396,              1.5341,             0.78974,             0.79611,             0.86215,             0.44078,                   0,                   0,                   0,           0.0086536,           0.0086536,           0.0086536
                  70,              2.2292,              1.4155,              1.5283,             0.79362,             0.79714,             0.86315,             0.44142,                   0,                   0,                   0,           0.0086338,           0.0086338,           0.0086338
                  71,              2.2333,              1.4178,              1.5279,             0.79654,             0.79686,             0.86416,             0.44216,                   0,                   0,                   0,            0.008614,            0.008614,            0.008614
                  72,              2.2287,              1.4095,              1.5336,             0.79586,             0.79737,             0.86422,             0.44296,                   0,                   0,                   0,           0.0085942,           0.0085942,           0.0085942
                  73,               2.229,              1.4111,              1.5385,             0.79329,             0.79881,             0.86395,             0.44347,                   0,                   0,                   0,           0.0085744,           0.0085744,           0.0085744
                  74,              2.2334,              1.4097,              1.5381,             0.79742,              0.7934,             0.86408,             0.44305,                   0,                   0,                   0,           0.0085546,           0.0085546,           0.0085546
                  75,              2.2358,              1.4037,              1.5348,             0.80037,             0.79368,             0.86479,             0.44387,                   0,                   0,                   0,           0.0085348,           0.0085348,           0.0085348
                  76,              2.2255,               1.412,              1.5292,             0.79026,             0.80031,             0.86585,             0.44438,                   0,                   0,                   0,            0.008515,            0.008515,            0.008515
                  77,              2.2151,              1.3922,              1.5226,             0.79308,             0.79945,             0.86568,             0.44465,                   0,                   0,                   0,           0.0084952,           0.0084952,           0.0084952
                  78,              2.2337,              1.4108,               1.535,             0.79041,             0.80238,             0.86651,             0.44494,                   0,                   0,                   0,           0.0084754,           0.0084754,           0.0084754
                  79,              2.2318,              1.3997,              1.5362,             0.79427,             0.80117,             0.86718,             0.44577,                   0,                   0,                   0,           0.0084556,           0.0084556,           0.0084556
                  80,              2.2276,              1.3894,              1.5288,             0.79769,             0.79824,             0.86668,             0.44659,                   0,                   0,                   0,           0.0084358,           0.0084358,           0.0084358
                  81,              2.2313,              1.3891,                1.54,             0.79844,             0.79858,             0.86733,             0.44668,                   0,                   0,                   0,            0.008416,            0.008416,            0.008416
                  82,              2.2167,              1.3965,              1.5384,             0.79803,             0.79927,             0.86805,             0.44667,                   0,                   0,                   0,           0.0083962,           0.0083962,           0.0083962
                  83,              2.2088,              1.4025,              1.5132,             0.79862,             0.79875,             0.86847,             0.44724,                   0,                   0,                   0,           0.0083764,           0.0083764,           0.0083764
                  84,              2.2148,               1.395,              1.5254,             0.79752,             0.79876,             0.86781,             0.44655,                   0,                   0,                   0,           0.0083566,           0.0083566,           0.0083566
                  85,              2.2129,              1.3729,              1.5198,             0.80027,             0.79565,             0.86752,              0.4469,                   0,                   0,                   0,           0.0083368,           0.0083368,           0.0083368
                  86,              2.2304,              1.4056,              1.5282,             0.79835,             0.79876,             0.86757,             0.44668,                   0,                   0,                   0,            0.008317,            0.008317,            0.008317
                  87,              2.2049,              1.3804,              1.5304,             0.79677,             0.80048,             0.86755,             0.44689,                   0,                   0,                   0,           0.0082972,           0.0082972,           0.0082972
                  88,              2.2209,              1.3815,              1.5356,             0.79995,             0.79772,             0.86795,             0.44714,                   0,                   0,                   0,           0.0082774,           0.0082774,           0.0082774
                  89,              2.2204,              1.3855,              1.5185,             0.80373,             0.79686,             0.86825,              0.4471,                   0,                   0,                   0,           0.0082576,           0.0082576,           0.0082576
                  90,              2.2045,              1.3663,              1.5157,             0.79442,             0.80325,             0.86824,             0.44724,                   0,                   0,                   0,           0.0082378,           0.0082378,           0.0082378
                  91,              2.2011,              1.3828,               1.519,              0.7993,             0.79979,             0.86855,             0.44737,                   0,                   0,                   0,            0.008218,            0.008218,            0.008218
                  92,              2.2111,              1.3824,              1.5282,             0.79882,             0.80014,             0.86868,             0.44784,                   0,                   0,                   0,           0.0081982,           0.0081982,           0.0081982
                  93,              2.2103,              1.3671,              1.5212,             0.79923,             0.80041,             0.86875,             0.44774,                   0,                   0,                   0,           0.0081784,           0.0081784,           0.0081784
                  94,              2.2112,              1.3857,              1.5243,             0.79871,             0.80196,             0.86899,             0.44809,                   0,                   0,                   0,           0.0081586,           0.0081586,           0.0081586
                  95,              2.1999,                1.36,              1.5232,             0.80139,             0.80017,             0.86892,             0.44831,                   0,                   0,                   0,           0.0081388,           0.0081388,           0.0081388
                  96,              2.2035,              1.3645,              1.5263,             0.80183,             0.80256,             0.86923,             0.44823,                   0,                   0,                   0,            0.008119,            0.008119,            0.008119
                  97,              2.2115,              1.3844,              1.5339,             0.80182,             0.80256,             0.86917,             0.44876,                   0,                   0,                   0,           0.0080992,           0.0080992,           0.0080992
                  98,              2.1982,              1.3712,               1.519,             0.80249,             0.80238,             0.86892,             0.44835,                   0,                   0,                   0,           0.0080794,           0.0080794,           0.0080794
                  99,              2.2049,              1.3594,              1.5318,             0.80077,             0.80472,             0.86939,             0.44829,                   0,                   0,                   0,           0.0080596,           0.0080596,           0.0080596
                 100,              2.1904,              1.3621,              1.5181,             0.80162,             0.80446,             0.86981,             0.44916,                   0,                   0,                   0,           0.0080398,           0.0080398,           0.0080398
                 101,              2.1997,              1.3623,               1.521,             0.80155,             0.80411,             0.86971,              0.4493,                   0,                   0,                   0,             0.00802,             0.00802,             0.00802
                 102,              2.1981,              1.3492,              1.5334,             0.80357,             0.80278,             0.87016,             0.44956,                   0,                   0,                   0,           0.0080002,           0.0080002,           0.0080002
                 103,              2.1993,              1.3611,              1.5139,             0.80477,             0.80273,             0.87011,             0.44962,                   0,                   0,                   0,           0.0079804,           0.0079804,           0.0079804
                 104,              2.1845,              1.3463,              1.5115,             0.80375,             0.80368,             0.86978,             0.44962,                   0,                   0,                   0,           0.0079606,           0.0079606,           0.0079606
                 105,              2.2014,              1.3531,              1.5232,             0.80472,             0.80365,             0.87002,             0.44984,                   0,                   0,                   0,           0.0079408,           0.0079408,           0.0079408
                 106,              2.1937,              1.3376,              1.5157,             0.80463,             0.80428,             0.87039,             0.45015,                   0,                   0,                   0,            0.007921,            0.007921,            0.007921
                 107,               2.195,              1.3632,              1.5178,             0.80619,             0.80359,             0.87036,             0.45061,                   0,                   0,                   0,           0.0079012,           0.0079012,           0.0079012
                 108,              2.1874,              1.3638,              1.5176,             0.80614,             0.80325,             0.87022,              0.4508,                   0,                   0,                   0,           0.0078814,           0.0078814,           0.0078814
                 109,                2.17,              1.3274,              1.5091,             0.80643,             0.80411,             0.87095,             0.45136,                   0,                   0,                   0,           0.0078616,           0.0078616,           0.0078616
                 110,              2.1873,              1.3476,              1.5148,             0.80516,             0.80594,             0.87108,             0.45152,                   0,                   0,                   0,           0.0078418,           0.0078418,           0.0078418
                 111,              2.1918,              1.3433,              1.5237,             0.80455,             0.80463,             0.87053,             0.45147,                   0,                   0,                   0,            0.007822,            0.007822,            0.007822
                 112,              2.1919,              1.3283,              1.5124,             0.80416,             0.80438,             0.87078,             0.45172,                   0,                   0,                   0,           0.0078022,           0.0078022,           0.0078022
                 113,              2.1793,              1.3435,              1.5191,             0.80202,             0.80754,             0.87138,             0.45168,                   0,                   0,                   0,           0.0077824,           0.0077824,           0.0077824
                 114,              2.1812,               1.328,              1.5154,             0.80094,             0.80826,             0.87101,             0.45163,                   0,                   0,                   0,           0.0077626,           0.0077626,           0.0077626
                 115,              2.1712,              1.3318,              1.5085,             0.80232,             0.80698,             0.87135,             0.45159,                   0,                   0,                   0,           0.0077428,           0.0077428,           0.0077428
                 116,              2.1861,               1.336,              1.5092,             0.79971,             0.80757,             0.87122,             0.45162,                   0,                   0,                   0,            0.007723,            0.007723,            0.007723
                 117,              2.1714,              1.3273,              1.5103,             0.79773,             0.81068,             0.87104,             0.45158,                   0,                   0,                   0,           0.0077032,           0.0077032,           0.0077032
                 118,              2.1903,              1.3316,              1.5163,             0.79867,             0.80928,             0.87112,             0.45198,                   0,                   0,                   0,           0.0076834,           0.0076834,           0.0076834
                 119,              2.1735,              1.3179,              1.5054,             0.79644,             0.81327,              0.8713,             0.45186,                   0,                   0,                   0,           0.0076636,           0.0076636,           0.0076636
                 120,               2.183,               1.318,              1.5055,             0.79659,             0.81315,             0.87127,             0.45204,                   0,                   0,                   0,           0.0076438,           0.0076438,           0.0076438
                 121,              2.1705,              1.3301,              1.5174,             0.79677,             0.81404,             0.87147,             0.45245,                   0,                   0,                   0,            0.007624,            0.007624,            0.007624
                 122,              2.1732,              1.3303,              1.5096,             0.79795,             0.81387,             0.87201,             0.45237,                   0,                   0,                   0,           0.0076042,           0.0076042,           0.0076042
                 123,              2.1765,              1.3128,              1.5194,             0.79754,              0.8143,             0.87199,              0.4526,                   0,                   0,                   0,           0.0075844,           0.0075844,           0.0075844
                 124,              2.1765,              1.3176,              1.5053,             0.79808,              0.8143,             0.87253,             0.45306,                   0,                   0,                   0,           0.0075646,           0.0075646,           0.0075646
                 125,              2.1776,              1.3261,               1.514,             0.79873,             0.81373,             0.87257,             0.45316,                   0,                   0,                   0,           0.0075448,           0.0075448,           0.0075448
                 126,              2.1737,              1.3235,              1.5093,             0.80077,             0.81188,             0.87262,             0.45346,                   0,                   0,                   0,            0.007525,            0.007525,            0.007525
                 127,              2.1742,              1.3226,              1.5124,             0.79863,             0.81251,             0.87256,             0.45361,                   0,                   0,                   0,           0.0075052,           0.0075052,           0.0075052
                 128,              2.1644,              1.2951,              1.5032,             0.80002,             0.81223,             0.87315,              0.4538,                   0,                   0,                   0,           0.0074854,           0.0074854,           0.0074854
                 129,              2.1762,              1.3014,              1.5098,             0.79958,             0.81137,             0.87299,             0.45402,                   0,                   0,                   0,           0.0074656,           0.0074656,           0.0074656
                 130,               2.178,              1.3185,                1.52,             0.80005,             0.81281,             0.87377,             0.45439,                   0,                   0,                   0,           0.0074458,           0.0074458,           0.0074458
                 131,              2.1602,              1.3125,              1.4986,             0.79965,             0.81309,             0.87405,             0.45472,                   0,                   0,                   0,            0.007426,            0.007426,            0.007426
                 132,              2.1751,               1.312,              1.5088,             0.79835,             0.81499,             0.87422,             0.45511,                   0,                   0,                   0,           0.0074062,           0.0074062,           0.0074062
                 133,              2.1722,              1.3218,              1.5129,              0.7973,             0.81517,             0.87423,             0.45497,                   0,                   0,                   0,           0.0073864,           0.0073864,           0.0073864
                 134,              2.1638,              1.3133,              1.5161,             0.79781,             0.81586,             0.87472,             0.45516,                   0,                   0,                   0,           0.0073666,           0.0073666,           0.0073666
                 135,              2.1767,              1.3087,              1.5041,             0.79683,             0.81707,             0.87486,             0.45527,                   0,                   0,                   0,           0.0073468,           0.0073468,           0.0073468
                 136,              2.1686,              1.3113,              1.5044,              0.7973,             0.81534,             0.87469,             0.45523,                   0,                   0,                   0,            0.007327,            0.007327,            0.007327
                 137,              2.1704,              1.3036,              1.5044,             0.79743,             0.81534,             0.87475,             0.45537,                   0,                   0,                   0,           0.0073072,           0.0073072,           0.0073072
                 138,                2.16,              1.3022,              1.5132,             0.79716,             0.81465,             0.87481,             0.45547,                   0,                   0,                   0,           0.0072874,           0.0072874,           0.0072874
                 139,              2.1663,              1.3124,               1.497,             0.80031,             0.81344,             0.87501,             0.45578,                   0,                   0,                   0,           0.0072676,           0.0072676,           0.0072676
                 140,              2.1563,              1.2846,              1.5051,             0.79946,             0.81465,             0.87528,             0.45596,                   0,                   0,                   0,           0.0072478,           0.0072478,           0.0072478
                 141,              2.1533,              1.2943,              1.5122,             0.79956,             0.81448,             0.87569,              0.4561,                   0,                   0,                   0,            0.007228,            0.007228,            0.007228
                 142,              2.1709,               1.309,              1.5064,             0.79884,             0.81499,             0.87579,             0.45623,                   0,                   0,                   0,           0.0072082,           0.0072082,           0.0072082
                 143,              2.1568,              1.2994,              1.5022,             0.79832,             0.81575,             0.87579,             0.45634,                   0,                   0,                   0,           0.0071884,           0.0071884,           0.0071884
                 144,              2.1522,              1.3023,              1.5083,             0.79989,             0.81413,             0.87614,             0.45647,                   0,                   0,                   0,           0.0071686,           0.0071686,           0.0071686
                 145,               2.155,              1.3091,              1.4979,             0.79972,             0.81396,             0.87578,             0.45654,                   0,                   0,                   0,           0.0071488,           0.0071488,           0.0071488
                 146,              2.1478,              1.2894,              1.4993,             0.79976,             0.81344,             0.87584,              0.4564,                   0,                   0,                   0,            0.007129,            0.007129,            0.007129
                 147,              2.1712,              1.3024,              1.5155,             0.79914,             0.81378,             0.87604,             0.45656,                   0,                   0,                   0,           0.0071092,           0.0071092,           0.0071092
                 148,              2.1582,              1.3061,              1.5034,             0.79819,             0.81396,             0.87598,             0.45665,                   0,                   0,                   0,           0.0070894,           0.0070894,           0.0070894
                 149,              2.1381,              1.2749,              1.5068,             0.80095,             0.81188,             0.87596,             0.45682,                   0,                   0,                   0,           0.0070696,           0.0070696,           0.0070696
                 150,              2.1617,              1.2885,              1.4957,             0.80092,             0.81104,             0.87613,             0.45713,                   0,                   0,                   0,           0.0070498,           0.0070498,           0.0070498
                 151,              2.1543,              1.2874,              1.5059,              0.8036,             0.80929,               0.876,             0.45727,                   0,                   0,                   0,             0.00703,             0.00703,             0.00703
                 152,              2.1558,              1.2861,              1.5013,             0.80332,             0.80998,              0.8761,              0.4573,                   0,                   0,                   0,           0.0070102,           0.0070102,           0.0070102
                 153,              2.1535,              1.2882,              1.5025,             0.80242,             0.81033,              0.8763,             0.45747,                   0,                   0,                   0,           0.0069904,           0.0069904,           0.0069904
                 154,              2.1599,              1.2835,              1.5016,             0.80117,             0.81188,             0.87683,             0.45775,                   0,                   0,                   0,           0.0069706,           0.0069706,           0.0069706
                 155,              2.1506,              1.2825,              1.4996,              0.8009,             0.81092,             0.87696,             0.45777,                   0,                   0,                   0,           0.0069508,           0.0069508,           0.0069508
                 156,              2.1391,              1.2833,              1.4943,             0.80156,             0.81033,             0.87643,             0.45786,                   0,                   0,                   0,            0.006931,            0.006931,            0.006931
                 157,              2.1463,              1.2832,              1.5026,             0.80021,             0.81206,             0.87661,             0.45788,                   0,                   0,                   0,           0.0069112,           0.0069112,           0.0069112
                 158,              2.1496,              1.2887,              1.5068,             0.79997,             0.81223,              0.8768,             0.45815,                   0,                   0,                   0,           0.0068914,           0.0068914,           0.0068914
                 159,              2.1311,              1.2739,              1.5024,             0.80031,             0.81258,             0.87664,             0.45816,                   0,                   0,                   0,           0.0068716,           0.0068716,           0.0068716
                 160,              2.1555,              1.2785,              1.5056,             0.79884,             0.81361,             0.87678,             0.45866,                   0,                   0,                   0,           0.0068518,           0.0068518,           0.0068518
                 161,              2.1438,              1.2693,              1.5107,             0.79871,             0.81362,             0.87675,              0.4584,                   0,                   0,                   0,            0.006832,            0.006832,            0.006832
                 162,              2.1449,              1.2731,              1.4903,             0.80034,             0.81223,             0.87705,             0.45838,                   0,                   0,                   0,           0.0068122,           0.0068122,           0.0068122
                 163,              2.1458,              1.2718,              1.4975,             0.80017,             0.81345,             0.87722,             0.45845,                   0,                   0,                   0,           0.0067924,           0.0067924,           0.0067924
                 164,              2.1376,              1.2669,              1.4992,              0.7985,             0.81499,             0.87725,             0.45809,                   0,                   0,                   0,           0.0067726,           0.0067726,           0.0067726
                 165,               2.142,              1.2829,              1.4984,             0.79926,              0.8162,             0.87739,             0.45859,                   0,                   0,                   0,           0.0067528,           0.0067528,           0.0067528
                 166,              2.1397,              1.2639,              1.5044,             0.79894,             0.81615,             0.87754,             0.45847,                   0,                   0,                   0,            0.006733,            0.006733,            0.006733
                 167,              2.1443,              1.2674,              1.4971,             0.80076,             0.81506,             0.87757,             0.45911,                   0,                   0,                   0,           0.0067132,           0.0067132,           0.0067132
                 168,               2.132,              1.2652,              1.4939,             0.80168,             0.81448,              0.8776,               0.459,                   0,                   0,                   0,           0.0066934,           0.0066934,           0.0066934
                 169,                2.13,              1.2657,               1.496,             0.80148,             0.81454,             0.87767,             0.45905,                   0,                   0,                   0,           0.0066736,           0.0066736,           0.0066736
                 170,              2.1335,              1.2664,               1.498,             0.79939,             0.81638,              0.8778,             0.45909,                   0,                   0,                   0,           0.0066538,           0.0066538,           0.0066538
                 171,              2.1295,               1.265,              1.5004,             0.79894,             0.81707,               0.878,             0.45981,                   0,                   0,                   0,            0.006634,            0.006634,            0.006634
                 172,              2.1309,              1.2553,              1.4947,             0.79936,             0.81724,             0.87807,             0.45946,                   0,                   0,                   0,           0.0066142,           0.0066142,           0.0066142
                 173,              2.1328,              1.2545,              1.4905,             0.79886,             0.81759,             0.87792,             0.45929,                   0,                   0,                   0,           0.0065944,           0.0065944,           0.0065944
