               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                  62,              2.2287,              1.4128,              1.5238,             0.79827,             0.79363,             0.86505,             0.44364,                   0,                   0,                   0,           0.0087922,           0.0087922,           0.0087922
                  63,               2.237,              1.4117,              1.5391,             0.80283,             0.79392,             0.86602,              0.4435,                   0,                   0,                   0,           0.0087724,           0.0087724,           0.0087724
                  64,              2.2206,              1.4128,              1.5226,             0.79673,             0.80031,             0.86812,             0.44513,                   0,                   0,                   0,           0.0087526,           0.0087526,           0.0087526
                  65,              2.2321,              1.4105,              1.5394,             0.79938,             0.79773,             0.86877,             0.44665,                   0,                   0,                   0,           0.0087328,           0.0087328,           0.0087328
                  66,              2.2226,              1.4188,              1.5293,              0.7972,             0.80083,             0.86842,             0.44668,                   0,                   0,                   0,            0.008713,            0.008713,            0.008713
                  67,              2.2153,              1.3991,              1.5235,              0.7993,             0.79663,             0.86841,             0.44692,                   0,                   0,                   0,           0.0086932,           0.0086932,           0.0086932
                  68,              2.2334,              1.4068,               1.526,             0.79755,             0.79485,             0.86797,             0.44629,                   0,                   0,                   0,           0.0086734,           0.0086734,           0.0086734
                  69,              2.2262,              1.4168,              1.5282,             0.79863,             0.79426,             0.86756,             0.44676,                   0,                   0,                   0,           0.0086536,           0.0086536,           0.0086536
                  70,              2.2154,              1.3938,               1.522,             0.80252,             0.79513,             0.86908,             0.44791,                   0,                   0,                   0,           0.0086338,           0.0086338,           0.0086338
                  71,              2.2164,              1.3945,              1.5196,             0.80177,             0.79513,             0.86966,             0.44839,                   0,                   0,                   0,            0.008614,            0.008614,            0.008614
                  72,              2.2131,               1.389,              1.5261,             0.80301,             0.79409,             0.87052,             0.44854,                   0,                   0,                   0,           0.0085942,           0.0085942,           0.0085942
                  73,              2.2086,              1.3886,              1.5289,             0.80306,             0.79461,             0.87111,             0.44903,                   0,                   0,                   0,           0.0085744,           0.0085744,           0.0085744
                  74,              2.2235,              1.3867,              1.5328,             0.80221,             0.79686,             0.87194,             0.45015,                   0,                   0,                   0,           0.0085546,           0.0085546,           0.0085546
                  75,              2.2158,              1.3833,              1.5269,             0.80422,             0.79543,              0.8719,             0.44983,                   0,                   0,                   0,           0.0085348,           0.0085348,           0.0085348
                  76,              2.2111,              1.3818,              1.5222,             0.80709,             0.79571,             0.87261,             0.45094,                   0,                   0,                   0,            0.008515,            0.008515,            0.008515
                  77,              2.1987,              1.3692,              1.5166,             0.80387,             0.79841,             0.87262,             0.45132,                   0,                   0,                   0,           0.0084952,           0.0084952,           0.0084952
                  78,              2.2219,              1.3899,              1.5285,             0.80553,             0.79807,             0.87255,             0.45114,                   0,                   0,                   0,           0.0084754,           0.0084754,           0.0084754
                  79,              2.2111,               1.367,              1.5285,              0.8064,             0.79796,             0.87245,             0.45173,                   0,                   0,                   0,           0.0084556,           0.0084556,           0.0084556
                  80,              2.2133,              1.3679,              1.5225,               0.812,             0.79271,             0.87292,             0.45207,                   0,                   0,                   0,           0.0084358,           0.0084358,           0.0084358
                  81,              2.2081,              1.3604,              1.5288,             0.81366,             0.79276,             0.87379,             0.45242,                   0,                   0,                   0,            0.008416,            0.008416,            0.008416
                  82,              2.2021,               1.378,              1.5328,             0.81342,             0.79224,              0.8739,             0.45238,                   0,                   0,                   0,           0.0083962,           0.0083962,           0.0083962
                  83,              2.1963,              1.3762,              1.5078,             0.81119,             0.79357,             0.87324,             0.45238,                   0,                   0,                   0,           0.0083764,           0.0083764,           0.0083764
                  84,              2.2017,              1.3701,              1.5204,             0.81517,              0.7915,             0.87374,             0.45322,                   0,                   0,                   0,           0.0083566,           0.0083566,           0.0083566
                  85,              2.1952,              1.3546,              1.5122,             0.81467,             0.79116,             0.87415,             0.45314,                   0,                   0,                   0,           0.0083368,           0.0083368,           0.0083368
                  86,              2.2128,              1.3767,              1.5211,             0.80922,             0.79668,             0.87495,             0.45348,                   0,                   0,                   0,            0.008317,            0.008317,            0.008317
                  87,              2.1947,              1.3545,              1.5249,             0.80768,             0.79755,             0.87466,             0.45397,                   0,                   0,                   0,           0.0082972,           0.0082972,           0.0082972
                  88,              2.2093,              1.3613,              1.5301,             0.80661,             0.79927,             0.87508,             0.45456,                   0,                   0,                   0,           0.0082774,           0.0082774,           0.0082774
                  89,              2.2046,               1.366,              1.5101,             0.80619,             0.80066,              0.8754,             0.45445,                   0,                   0,                   0,           0.0082576,           0.0082576,           0.0082576
                  90,              2.1875,              1.3456,              1.5065,             0.80497,             0.79945,             0.87531,             0.45428,                   0,                   0,                   0,           0.0082378,           0.0082378,           0.0082378
                  91,              2.1886,              1.3579,              1.5135,             0.80477,             0.80036,             0.87534,             0.45419,                   0,                   0,                   0,            0.008218,            0.008218,            0.008218
                  92,              2.1919,              1.3578,                1.52,             0.80397,             0.80152,             0.87476,             0.45399,                   0,                   0,                   0,           0.0081982,           0.0081982,           0.0081982
                  93,              2.1925,              1.3503,              1.5114,             0.80383,             0.80152,             0.87476,             0.45431,                   0,                   0,                   0,           0.0081784,           0.0081784,           0.0081784
                  94,               2.199,              1.3683,              1.5175,             0.80398,             0.80152,             0.87432,             0.45419,                   0,                   0,                   0,           0.0081586,           0.0081586,           0.0081586
                  95,              2.1848,              1.3429,               1.514,             0.80382,             0.80359,             0.87447,             0.45428,                   0,                   0,                   0,           0.0081388,           0.0081388,           0.0081388
                  96,              2.1904,              1.3485,              1.5188,             0.80455,             0.80278,             0.87462,             0.45437,                   0,                   0,                   0,            0.008119,            0.008119,            0.008119
                  97,              2.1968,              1.3583,              1.5262,             0.80597,             0.80221,             0.87498,             0.45478,                   0,                   0,                   0,           0.0080992,           0.0080992,           0.0080992
                  98,              2.1779,              1.3555,              1.5098,             0.80391,             0.80325,             0.87483,             0.45465,                   0,                   0,                   0,           0.0080794,           0.0080794,           0.0080794
                  99,              2.1893,              1.3348,              1.5244,             0.80415,             0.80307,             0.87512,             0.45507,                   0,                   0,                   0,           0.0080596,           0.0080596,           0.0080596
                 100,              2.1775,               1.333,              1.5099,             0.80392,             0.80312,             0.87548,             0.45504,                   0,                   0,                   0,           0.0080398,           0.0080398,           0.0080398
                 101,              2.1842,               1.338,              1.5157,             0.80425,             0.80554,             0.87528,             0.45538,                   0,                   0,                   0,             0.00802,             0.00802,             0.00802
                 102,              2.1785,              1.3344,              1.5231,             0.80371,             0.80653,             0.87586,             0.45533,                   0,                   0,                   0,           0.0080002,           0.0080002,           0.0080002
                 103,              2.1884,              1.3466,              1.5079,             0.80305,             0.80532,             0.87595,             0.45572,                   0,                   0,                   0,           0.0079804,           0.0079804,           0.0079804
                 104,               2.168,              1.3233,              1.5034,             0.80227,             0.80567,             0.87596,             0.45588,                   0,                   0,                   0,           0.0079606,           0.0079606,           0.0079606
                 105,              2.1848,              1.3282,              1.5146,              0.8042,             0.80549,             0.87616,              0.4561,                   0,                   0,                   0,           0.0079408,           0.0079408,           0.0079408
                 106,              2.1836,              1.3161,              1.5098,             0.80231,             0.80584,             0.87598,             0.45589,                   0,                   0,                   0,            0.007921,            0.007921,            0.007921
                 107,              2.1753,              1.3423,              1.5086,             0.80336,             0.80549,             0.87629,             0.45568,                   0,                   0,                   0,           0.0079012,           0.0079012,           0.0079012
                 108,              2.1764,              1.3405,               1.512,             0.80342,             0.80601,             0.87664,             0.45582,                   0,                   0,                   0,           0.0078814,           0.0078814,           0.0078814
                 109,              2.1613,              1.3136,              1.5052,             0.80263,             0.80716,             0.87615,             0.45597,                   0,                   0,                   0,           0.0078616,           0.0078616,           0.0078616
                 110,              2.1736,              1.3271,              1.5076,             0.80215,             0.80584,              0.8756,             0.45616,                   0,                   0,                   0,           0.0078418,           0.0078418,           0.0078418
                 111,              2.1843,              1.3237,              1.5202,             0.80298,              0.8054,             0.87547,             0.45593,                   0,                   0,                   0,            0.007822,            0.007822,            0.007822
                 112,              2.1794,              1.3103,              1.5038,             0.80273,             0.80739,             0.87595,             0.45659,                   0,                   0,                   0,           0.0078022,           0.0078022,           0.0078022
                 113,              2.1682,              1.3318,              1.5133,             0.80269,             0.80791,             0.87625,             0.45653,                   0,                   0,                   0,           0.0077824,           0.0077824,           0.0077824
                 114,              2.1685,              1.3189,              1.5093,             0.80181,             0.80999,             0.87632,              0.4567,                   0,                   0,                   0,           0.0077626,           0.0077626,           0.0077626
                 115,              2.1531,              1.3095,              1.5018,              0.8026,             0.80981,             0.87702,             0.45681,                   0,                   0,                   0,           0.0077428,           0.0077428,           0.0077428
                 116,              2.1764,              1.3137,              1.5043,             0.80161,             0.80895,             0.87642,             0.45716,                   0,                   0,                   0,            0.007723,            0.007723,            0.007723
                 117,              2.1587,              1.3157,               1.503,             0.80068,             0.80981,             0.87636,             0.45713,                   0,                   0,                   0,           0.0077032,           0.0077032,           0.0077032
                 118,              2.1763,              1.3141,              1.5095,             0.80251,             0.80912,             0.87646,              0.4574,                   0,                   0,                   0,           0.0076834,           0.0076834,           0.0076834
                 119,              2.1584,              1.3107,              1.4982,             0.80171,             0.80998,             0.87656,             0.45743,                   0,                   0,                   0,           0.0076636,           0.0076636,           0.0076636
                 120,              2.1732,              1.3055,              1.4986,               0.803,             0.80947,             0.87667,             0.45759,                   0,                   0,                   0,           0.0076438,           0.0076438,           0.0076438
                 121,              2.1594,              1.3083,              1.5129,             0.80268,             0.80998,             0.87722,             0.45796,                   0,                   0,                   0,            0.007624,            0.007624,            0.007624
                 122,              2.1564,              1.3132,              1.5016,             0.80245,             0.80975,               0.877,             0.45803,                   0,                   0,                   0,           0.0076042,           0.0076042,           0.0076042
                 123,              2.1605,              1.2938,              1.5088,             0.80289,             0.80964,             0.87727,             0.45812,                   0,                   0,                   0,           0.0075844,           0.0075844,           0.0075844
                 124,              2.1597,               1.301,              1.4973,             0.80313,             0.81016,             0.87723,             0.45806,                   0,                   0,                   0,           0.0075646,           0.0075646,           0.0075646
                 125,              2.1633,              1.3092,              1.5065,             0.80239,             0.81206,             0.87762,             0.45837,                   0,                   0,                   0,           0.0075448,           0.0075448,           0.0075448
